store_id,start_time,end_time,enter_cnt,exit_cnt,passer_cnt,watcher_cnt,wait_cnt,enter_coefficient,exit_coefficient,enter_rate,intersect_enter,intersect_exit,female,ageless16,age17to30,age31to45,age46to60,bodyfat,bodynormal,bodythin,customer,employee,hs_baldhead,hs_longhair,hs_blackhair,hs_hat,hs_glasses,ub_shirt,ub_sweater,ub_vest,ub_tshirt,ub_cotton,ub_jacket,ub_suitup,ub_tight,ub_shortsleeve,ub_others,lb_longtrousers,lb_skirt,lb_shortskirt,lb_dress,lb_jeans,lb_tighttrousers,shoes_leather,shoes_sports,shoes_boots,shoes_cloth,shoes_casual,shoes_other,attachment_backpack,attachment_shoulderbag,attachment_handbag,attachment_box,attachment_plasticbag,attachment_paperbag,attachment_handtrunk,attachment_other
名创优品miniso,2021-02-24 19:00:00,2021-02-24 19:30:00,43,76,940,123,0,1,1,0.045744680851063826,92,125,0.7983193277310925,0.06722689075630252,0.5966386554621849,0.2773109243697479,0.058823529411764705,0.008403361344537815,0.9747899159663865,0.01680672268907563,1.0,0.0,0.0,0.6890756302521008,0.8319327731092437,0.03361344537815126,0.01680672268907563,0.15966386554621848,0.0,0.0,0.07563025210084033,0.2857142857142857,0.29411764705882354,0.0,0.23529411764705882,0.0,0.11764705882352941,0.5798319327731093,0.0,0.0,0.04201680672268908,0.025210084033613446,0.3949579831932773,0.15126050420168066,0.01680672268907563,0.15966386554621848,0.04201680672268908,0.36134453781512604,0.03361344537815126,0.10084033613445378,0.08403361344537816,0.12605042016806722,0.0,0.008403361344537815,0.058823529411764705,0.0,0.25210084033613445
名创优品miniso,2021-02-24 19:30:00,2021-02-24 20:00:00,54,66,851,95,0,1,1,0.06345475910693302,109,121,0.8333333333333334,0.041666666666666664,0.5333333333333333,0.35,0.075,0.0,1.0,0.0,1.0,0.0,0.0,0.675,0.8666666666666667,0.0,0.0,0.2,0.0,0.0,0.058333333333333334,0.16666666666666666,0.21666666666666667,0.0,0.23333333333333334,0.0,0.13333333333333333,0.6083333333333333,0.03333333333333333,0.0,0.10833333333333334,0.016666666666666666,0.30833333333333335,0.15,0.025,0.14166666666666666,0.025,0.38333333333333336,0.016666666666666666,0.11666666666666667,0.09166666666666666,0.06666666666666667,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.008333333333333333,0.275
名创优品miniso,2021-02-24 20:00:00,2021-02-24 20:30:00,59,73,1049,159,0,1,1,0.05624404194470925,125,139,0.7651515151515151,0.07575757575757576,0.5454545454545454,0.3484848484848485,0.030303030303030304,0.0,0.9772727272727273,0.022727272727272728,1.0,0.0,0.0,0.6136363636363636,0.8939393939393939,0.007575757575757576,0.0,0.24242424242424243,0.0,0.0,0.07575757575757576,0.2878787878787879,0.25757575757575757,0.0,0.24242424242424243,0.0,0.06818181818181818,0.6818181818181818,0.015151515151515152,0.015151515151515152,0.045454545454545456,0.015151515151515152,0.23484848484848486,0.20454545454545456,0.030303030303030304,0.13636363636363635,0.015151515151515152,0.4166666666666667,0.022727272727272728,0.10606060606060606,0.06818181818181818,0.05303030303030303,0.007575757575757576,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.25757575757575757
名创优品miniso,2021-02-24 20:30:00,2021-02-24 21:00:00,43,69,965,124,0,1,1,0.04455958549222798,117,143,0.7678571428571429,0.008928571428571428,0.5982142857142857,0.36607142857142855,0.026785714285714284,0.0,0.9910714285714286,0.008928571428571428,1.0,0.0,0.0,0.6339285714285714,0.8660714285714286,0.008928571428571428,0.0,0.19642857142857142,0.0,0.0,0.10714285714285714,0.2857142857142857,0.25,0.008928571428571428,0.16071428571428573,0.0,0.07142857142857142,0.6428571428571429,0.017857142857142856,0.0,0.017857142857142856,0.0,0.29464285714285715,0.15178571428571427,0.0,0.14285714285714285,0.026785714285714284,0.29464285714285715,0.05357142857142857,0.08928571428571429,0.07142857142857142,0.09821428571428571,0.008928571428571428,0.0,0.026785714285714284,0.03571428571428571,0.30357142857142855
海马体照相馆,2021-02-24 19:00:00,2021-02-24 19:30:00,9,16,940,68,0,1,1,0.009574468085106383,17,24,0.6,0.04,0.64,0.28,0.04,0.04,0.96,0.0,1.0,0.0,0.0,0.72,0.92,0.04,0.04,0.36,0.0,0.0,0.0,0.16,0.28,0.0,0.28,0.0,0.16,0.72,0.04,0.0,0.0,0.0,0.2,0.2,0.0,0.12,0.0,0.44,0.12,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.24
海马体照相馆,2021-02-24 19:30:00,2021-02-24 20:00:00,7,10,851,85,0,1,1,0.008225616921269096,12,15,0.8823529411764706,0.0,0.5294117647058824,0.35294117647058826,0.11764705882352941,0.0,1.0,0.0,1.0,0.0,0.0,0.7647058823529411,0.8823529411764706,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.0,0.11764705882352941,0.0,0.058823529411764705,0.7647058823529411,0.0,0.0,0.0,0.0,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.4117647058823529,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.23529411764705882
海马体照相馆,2021-02-24 20:00:00,2021-02-24 20:30:00,9,13,1049,73,0,1,1,0.008579599618684462,16,20,0.8636363636363636,0.13636363636363635,0.4090909090909091,0.3181818181818182,0.13636363636363635,0.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364,0.9545454545454546,0.0,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456,0.2727272727272727,0.18181818181818182,0.045454545454545456,0.22727272727272727,0.0,0.045454545454545456,0.45454545454545453,0.0,0.0,0.045454545454545456,0.045454545454545456,0.4090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.3181818181818182,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.22727272727272727
海马体照相馆,2021-02-24 20:30:00,2021-02-24 21:00:00,4,2,965,56,0,1,1,0.004145077720207254,4,2,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666
