store_name,date,type,floor,enter_cnt,exit_cnt,enter_rate,watcher_cnt,female,ageless16,age17to30,age31to45,age46to60,bodyfat,bodynormal,bodythin,customer,employee,hs_baldhead,hs_hat,hs_glasses
KT World,2021-02-11,fashions,B1,489,331,0.037062301,1358,0.323171,0.0317073,0.354878,0.582927,0.0304878,0.0341463,0.95,0.0158537,1,0,0,0.0256098,0.0182927
PERFECT DIARY,2021-02-07,kids & babies,B1,3266,2688,0.04233202,1962,0.751092,0.0503863,0.508902,0.394693,0.0460195,0.033255,0.932818,0.0339268,0.997985,0.00201545,0,0.0510581,0.0265368
Cool zone,2021-02-03,kids & babies,L3,37,35,0.013920241,49,0.388889,0.0138889,0.527778,0.444444,0.0138889,0.111111,0.847222,0.0416667,0.972222,0.0277778,0,0.152778,0
ARIOSE years,2021-02-10,accessories,L2,497,265,0.051305874,861,0.564304,0.0170604,0.631234,0.317585,0.0341207,0.0380577,0.933071,0.0288714,0.998688,0.00131234,0,0.0419947,0.0997375
KIDSIMLE,2021-02-12,kids & babies,L3,32,19,0.003633886,66,0.372549,0.156863,0.431373,0.392157,0.0196078,0.0196078,0.901961,0.0784314,1,0,0,0,0.0196078
NIO,2021-02-01,kids & babies,L1,328,318,0.018617323,170,0.422601,0.201238,0.28483,0.495356,0.0185759,0.0356037,0.851393,0.113003,0.998452,0.00154799,0,0.0557276,0.0448916
gb,2021-02-11,fashions,L3,60,69,0.009175715,151,0.573643,0.0697674,0.232558,0.620155,0.0775194,0,0.945736,0.0542636,1,0,0,0.0387597,0.00775194
KT World,2021-02-02,fashions,B1,274,207,0.016788187,1973,0.305613,0.024948,0.351351,0.596674,0.027027,0.0561331,0.931393,0.012474,1,0,0,0.022869,0.018711
KT World,2021-02-18,fashions,B1,1047,678,0.036926007,2929,0.328696,0.0284058,0.358841,0.575072,0.0376812,0.0388406,0.955942,0.00521739,1,0,0.00115942,0.0150725,0.0150725
ARIOSE years,2021-02-01,accessories,L2,129,66,0.037620297,279,0.584615,0.0153846,0.523077,0.441026,0.0205128,0.0307692,0.938462,0.0307692,1,0,0,0.102564,0.0717949
KKV,2021-02-01,fashions,B2,320,1320,0.026483489,1193,0.576829,0.0128049,0.292073,0.654878,0.0402439,0.0158537,0.977439,0.00670732,0.992683,0.00731707,0.000609756,0.0439024,0.0207317
gb,2021-02-01,fashions,L3,107,119,0.012845138,318,0.429204,0.0973451,0.256637,0.588496,0.0575221,0.0221239,0.915929,0.0619469,0.986726,0.0132743,0.0132743,0.0265487,0.0132743
Duniang Hotpot,2021-02-10,consumer electronics,B1,358,218,0.035778533,1384,0.512153,0.0243056,0.46875,0.369792,0.137153,0.0104167,0.949653,0.0399306,0.998264,0.00173611,0,0.0659722,0.00173611
AAPE,2021-02-10,accessories,L1,615,504,0.057065974,1465,0.374441,0.0223414,0.622878,0.277033,0.077748,0.0321716,0.949062,0.0187668,1,0,0,0.0705988,0.025916
HUAWEI,2021-02-16,kids & babies,B2,1056,1032,0.039907789,3650,0.489943,0.0220307,0.482759,0.455939,0.039272,0.0732759,0.917146,0.00957854,0.999042,0.000957854,0.000478927,0.0818966,0.0766284
GEMMO,2021-02-12,fashions,L2,568,428,0.035029294,1978,0.519076,0.0351406,0.401606,0.512048,0.0512048,0.0110442,0.954819,0.0341365,1,0,0,0.0261044,0.0220884
Asics,2021-02-10,accessories,L4,389,371,0.059163498,532,0.410526,0.0289474,0.357895,0.565789,0.0473684,0.0210526,0.95,0.0289474,1,0,0,0.0644737,0.151316
gb,2021-02-18,fashions,L3,232,159,0.01713948,391,0.560102,0.0895141,0.258312,0.598466,0.0537084,0.0102302,0.938619,0.0511509,1,0,0,0.0332481,0.00511509
