store_name,date,type,floor,enter_number,enter_rate,female_number,female_rate,male_number,male_rate,teenager_number,teenager_rate,youth_number,youth_rate,middle-aged_number,middle-aged_rate,senior_number,senior_rate,dropdown
BOYLONDON,2021-02-09,accessories,B1,332,1,63,19,269,81,8,2,14,23,239 ,72,0,3,
BOYLONDON,2021-02-10,accessories,B1,504,2,96,19,408,81,18,4,24,25,343 ,68,1,4,
BOYLONDON,2021-02-11,accessories,B1,86,1,13,15,73,85,1,1,3,23,61 ,71,0,5,
BOYLONDON,2021-02-12,accessories,B1,178,1,32,18,146,82,4,2,8,24,123 ,69,0,4,
BOYLONDON,2021-02-13,accessories,B1,223,1,47,21,176,79,3,1,11,23,163 ,73,0,3,
BOYLONDON,2021-02-14,accessories,B1,220,1,57,26,163,74,6,3,16,28,143 ,65,1,4,
BOYLONDON,2021-02-15,accessories,B1,275,1,70,25,205,75,6,2,20,29,182 ,66,1,3,
BOYLONDON,2021-02-16,accessories,B1,282,1,57,20,225,80,8,3,14,24,195 ,69,0,4,
BOYLONDON,2021-02-17,accessories,B1,299,1,61,20,238,80,8,3,15,25,212 ,71,0,2,
BOYLONDON,2021-02-18,accessories,B1,134,1,27,20,107,80,1,1,7,26,92 ,69,0,4,
BOYLONDON,2021-02-19,accessories,B1,137,1,34,25,103,75,3,2,10,28,89 ,65,0,4,
BOYLONDON,2021-02-20,accessories,B1,206,1,42,21,164,79,11,5,9,22,140 ,68,0,5,
BOYLONDON,2021-02-21,accessories,B1,329,1,76,23,253,77,7,2,20,27,217 ,66,1,5,
BOYLONDON,2021-02-22,accessories,B1,88,1,17,19,71,81,4,5,4,24,57 ,65,0,7,
BOYLONDON,2021-02-23,accessories,B1,78,1,14,18,64,82,1,1,3,21,59 ,76,0,2,
BOYLONDON,2021-02-24,accessories,B1,70,1,15,21,55,79,3,4,4,28,46 ,65,0,3,
BOYLONDON,2021-02-25,accessories,B1,71,1,15,21,56,79,3,5,4,30,44 ,62,0,4,
BOYLONDON,2021-02-26,accessories,B1,112,1,19,17,93,83,5,5,5,24,76 ,68,0,3,
BOYLONDON,2021-02-27,accessories,B1,320,1,78,24,242,76,12,4,25,32,195 ,61,1,3,
BOYLONDON,2021-02-28,accessories,B1,131,1,37,28,94,72,5,4,11,30,83 ,63,0,4,
DuniangHotpot,2021-02-01,consumer_electronics,B1,201,6,63,31,138,69,3,2,21,33,74 ,37,6,28,
DuniangHotpot,2021-02-02,consumer_electronics,B1,161,4,49,30,112,70,1,0,18,37,69 ,43,4,20,
DuniangHotpot,2021-02-03,consumer_electronics,B1,142,4,36,25,106,75,1,0,12,33,51 ,36,4,30,
DuniangHotpot,2021-02-04,consumer_electronics,B1,266,5,99,37,167,63,5,2,38,38,112 ,42,7,18,
DuniangHotpot,2021-02-05,consumer_electronics,B1,398,4,142,36,256,64,5,1,41,29,199 ,50,8,19,
DuniangHotpot,2021-02-06,consumer_electronics,B1,685,3,248,36,437,64,4,1,86,35,308 ,45,17,20,
DuniangHotpot,2021-02-07,consumer_electronics,B1,184,2,69,38,115,62,1,1,29,42,77 ,42,4,15,
DuniangHotpot,2021-02-08,consumer_electronics,B1,405,6,111,28,294,72,5,1,33,29,186 ,46,8,24,
DuniangHotpot,2021-02-09,consumer_electronics,B1,295,4,82,28,213,72,6,2,32,39,139 ,47,4,12,
DuniangHotpot,2021-02-10,consumer_electronics,B1,358,4,183,51,175,49,9,2,86,47,132 ,37,12,14,
DuniangHotpot,2021-02-11,consumer_electronics,B1,64,3,21,33,43,67,1,2,9,42,28 ,44,1,12,
